Title,Company,Application link
Credit Risk Analyst - Top European Bank!,Page Personnel,https://hk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CSte6oGGtDxh-7fhYpl3JUF32xG07cYNaxIIfxptA_Wgi2_nEAFSrMbNj1WHu8bcy11xIy3snXW7kZ22-PmX6laCajQyTKM1zzq4nyIsmGEj50fePsZVgtw-riXbYI0YE_dHp6set0p-B75bzy5wU3zcR7_X_ZRt9mkWy86XiZsVxbSvyUeP4RONtEXLe6X9NGYs4DuEV4dgBcvIVerljS69DxZRUiVRpebux5geZdBRdQpmW_rnQ5VKwlUUvhMmQeXtRVjNVZc7UBSgamtqDTB91IbvjXs0ucaWWuMq7E3a2DN6xYc2c9wYu7HuvrcK8IIyyujrxzl4JNRym3s-eYJGClk0z4Y88IU3raj6ji0XxWfgYZAxrCpcYN1AKm-csXbrEtmMhB7pGl-p9wEiHMwsBS7je_g5uxSoE5nNch67_TgCGwfagGHMZZfN4pCmGCN7erArtGqonLR88VxA0TdQ-le6I9rFFiJvXBcJafAPU-dv_8okRN7433JC4SIw-fI4f1p1fqvoEjQRcAo5ueH2SvkSs1lpfEVm1JnJg4rORIkUEKDB9D8YzCJX-6DU0hvG2zUS2NcULMnI3RvaIu-088GnxpIPB6xfxcy4B-HyJpStyZrXLtOahUd3XqIUvhLfI0_TRRPf0jqkFDsNkOsaDZv6_q7nsz7bL7XF2YtxNwlESRe7BVBVLKz6C3we13xeVASoEa8Yp5GBguPPdz&p=1&fvj=0&vjs=3
Fundamental Analyst,Amber Hill Capital Limited,https://hk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BBhZYZZ7bY_Q2-fWzXB8nQYCzWpr80zNz3fSsAHgtb9uW7t4haRcxbu3xc-qd0HbuKLfxt-wyN0PiMDq_hl_0Uec_5HtBq8BEikYBz0o6zhLRU58mQUj9b88ZejeThTjFUsFcfcYPhid3nXGK4ZMk5GdVlV3Uk8jkzXLQzC63uxzGW6ggIViqDaOt3Rdq8vN5fEdHXtpyhVCJQ9AHq4XutRctKioKrIJB3nr-5QUN9CnQZTOh4EavmGTL9iTI94IwptjpCXKyOeMtKQhoLBvpv48QbKrtWuLFC8S8-8f0RANsIf2BfTVMClUjizFP2MV8cFAuZWErDiAod-xZNpubRP8cLG9B7J3qXrUGvgBuIccRSOdc6DOTwIdNhyHj4RFDxI5ennisSOknv7Oyx2xKpMF7kz3vPMiVIv62h10g1Y5yTvnwv8THazO5Pa5A0KBQIaRL9mqfD2IwQocfKNiRyy7Plz05wMYiNNmrGBPLxRSbDOyW_4nJfY_013OUaRDsrkq9iBXiz2e2L7PImqJJ-fWpXQA6E9uZBWTfYt5vW-ClksqUnostuOfKwT52uQ_EnvZHfBJAvHoJuONbVmvOMw_fJ3zmP64hsRpRwPLgryiz-GTUkYhiJfTpmCBtlh16my3D8KpbB4ckAQKiikbDhIRsdfX09q07i61Bh34Rv52h_XA2X15LZGxjVmT8hXTq7a6k9ckMqyhi8puA0-7LXTX4P2gXS5ns=&p=2&fvj=0&vjs=3
Officer (Assistant Financial Analyst) – Finance,Bank Consortium Trust Company Limited,https://hk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CSte6oGGtDxh-7fhYpl3JUF32xG07cYNaxIIfxptA_Wgi2_nEAFSrMbNj1WHu8bcwpgpguNlx4NzFB9rT3UxcWyZmGrGjtvJksggxLn0tG-UAQG-oLwTwiHHmaaw8LZmVeBZv2IaaC7beeN8ByGEcYFOVGyPS4G0cVDVtw9X6eAdM9QPd6xxMsue228MJkimqvfwJnvwrvTneawzYAik4LMfphnE6U54bmohyTsYWKmZzwFs-iAL3r-VMbLCWTgqXIIn1O07J-Rs4HaLxrn7q_atMZcU4slhCNEfEYlMnK-6tTD8ktppESPROR0ipwiuI97I4qzmdZb2bGMvVl4etThgTwYWKCQfEIzSAchrgkTOpMMFxarRvMBLasG-pkiTBhTw0iZnQK6mUjkuAFEZQp0fFWydL6MIUnoJyzWZGwbqVpC7WzN3sepkPDNR3NzQrawHx3skwJBxK4XKQQLttPdJW4nVsCVKqD5UNzEWu7-OV5YZw5a3bf9Mi42UghCQAJ3qLcwsKAxXNBAD0rqMQ_Ej1sbcfrR-5Eg5Zu5YhxPI6IsUL-PkslPiIl4v0GuG5jGd3xepHbvr4w24DiSw4mGnvQUGaSkl71m95c1953I5Jpce_M2WF2AoiaEub5H-5w8OA_5uYQ1Ir99CqbRELfUHh4fpa3dBGbHNi8OQ_2GxZ2F7ETTO_kcd8hZgbr5wewHajZz2XyBJ3qEpgnj8X0&p=3&fvj=0&vjs=3
Analyst Programmer - Android/ iOS | Finance,Ambitious People Group,https://hk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CSte6oGGtDxh-7fhYpl3JUF32xG07cYNaxIIfxptA_Wgi2_nEAFSrMbNj1WHu8bcwpgpguNlx4N2WGP3L33UyrzBMMkbYjw0s0hOz6z0PEJR3u4yc-VmGuUk5oNtcws_lrcMXiro8fkh5I89P1yQyQ1qM_5pSLBWKXOrdSj7D0CIeq5Wtuj84mQqMpS5aLShfA4Dg716fEh60pLO7aQnsP_upX1ldolrDYRbalXRobpxstkpuewKIxmXceXvXlav8AnBC9Bh0EqXBNwHvgF-lilySw_tI_yuUkCwfyUMm5D2vXRAcVvOOr976TwJ4yiU5k89Tzh0QDv-a8kZtfusliYxtpkLSPwQg-s_aP44Ow5azMV_jfBlMezCRoGYgxr1z2cKZF7fr1hZAT4x9IvMCnYNzkzKiwGe1OSMmjAeEPoPohS_JHFusjPOLgk8VGlu3I0l3_C4VT-1W3yiiWMN22HfMPW1SqXO8SifgSJacEHy8j-Hb3VcBxLMrVTJzn9nQd4oXTnjnAKywHOZ90bUmQVX1aAe5l2EgHWcBwjMEoRh07PC0nTzDafPkFAAO_DEkqVlvsME1FySk7zqCJotfaDTRf5Inda5z1vuGgRtaKqA-JozrTRTx-WLlT1X2VUh9PvJ3ep7JLEEo6DJDYnhhxi8eMgMTkfS4kvMIQgHDXNiJHd5AzaVQDxSnIKF7-3Al7u_e6FeSy9lYtGI1lSXX3&p=4&fvj=0&vjs=3
"Financial Analyst, Group Finance",DFI Retail Group,https://hk.indeed.com/rc/clk?jk=61ef64dcb80c8b71&fccid=dd616958bd9ddc12&vjs=3
"Analyst, Fixed Income - Hang Seng Bank (HK)",HSBC,https://hk.indeed.com/rc/clk?jk=71142d163debfd87&fccid=04c9b139c84ea1b5&vjs=3
Senior Financial Analyst,DFI Retail Group,https://hk.indeed.com/rc/clk?jk=ef84f874f24496e6&fccid=dd616958bd9ddc12&vjs=3
Treasury & Management Analyst,iN and iN Management,https://hk.indeed.com/rc/clk?jk=0c1f116b00b00e8c&fccid=9dd7a1326b5fa1dc&vjs=3
Actuarial Analyst / Senior Analyst (ADM Team),AXA Hong Kong,https://hk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CSte6oGGtDxh-7fhYpl3JUF32xG07cYNaxIIfxptA_Wgi2_nEAFSrMbNj1WHu8bcwZV1JbBYQ1e2vM4WWCi5O3bZZeGYfOXOyCBRo1knarHh8Kr5zaiHdKMxKFJSuDIs3LYDHZkAgzZhbkHl-siMrz8ld6DdmNaa90eb-YoZUC35tfA8ant3HghgdTfV_o6JFBP7FUiViDYLPGmdoTVN-or_31Sa_-hcggGLvm9BnwvkXeyGs3lgU_gokfZpPl-ykwnAzdk92wJmwUDsgRD5YEEqQyYQWoy-terf8diIz8J-jS_X1YvQUymuKEiGw5Vf0IKCz5ZubcVjxaROthv_f3WjipK2Bk6g8HvKseoZ-6_k9FsmNO9njqcajEc9dmeHcTHFmNNyjCpEOhMhatNU1fF1R9LkU7NyfUbOgs_oe_hyhrKsKkEzpRdTlJfRpowlAOsmy_HNGpbgbsnOK3l_23WfYrWm-H_yMjWr8yu1GWro8I9ZWAyQWLR3Us5JHpL3WjkhhrhG1y5MA9EEL7GO-esWOhBaG6Q8N9Glrr0Klbdal_6qEV5kQ6Fw3ZVrmnsVy2mHzSo_Glog8qEXT71JBiB1j4DDLl-lIeMPOE9uYNSZXDSZ-cNw0KdHzECJ_NZXkq8Ye5bBSKMyx_LZOHSuIhiW0ktmA7n9Xvd7p50dvKIGVkNJ35LQlWJznAbh_bVLPCM8jPD7Ang6y1XqvrRvto&p=9&fvj=0&vjs=3
Senior Financial Analyst,Walters People,https://hk.indeed.com/rc/clk?jk=8dd2d47726b77706&fccid=867bf7143e8ea41c&vjs=3
